%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1574069785820768405,53,1574069785820633188,base_link,111000.0,222000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786060301704,54,1574069786060073926,base_link,114000.0,217000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786297774451,55,1574069786297423343,base_link,111000.0,216000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786532848122,56,1574069786532616666,base_link,104000.0,221000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069786785251422,57,1574069786784905174,base_link,122000.0,216000.0,-383000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787019754063,58,1574069787019552914,base_link,123000.0,218000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787260611738,59,1574069787260202320,base_link,112000.0,217000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787502769140,60,1574069787502453808,base_link,109000.0,217000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787733342222,61,1574069787732972790,base_link,113000.0,216000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069787976203214,62,1574069787975992759,base_link,116000.0,217000.0,-378000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788226364073,63,1574069788226005957,base_link,110000.0,218000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788470585867,64,1574069788470334043,base_link,108000.0,221000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788711749140,65,1574069788711352307,base_link,112000.0,221000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069788930337791,66,1574069788930133833,base_link,112000.0,218000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789181723628,67,1574069789181500083,base_link,118000.0,218000.0,-379000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789414387237,68,1574069789414116212,base_link,107000.0,221000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789655469142,69,1574069789655225299,base_link,109000.0,218000.0,-369000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069789896893050,70,1574069789896563766,base_link,109000.0,222000.0,-377000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790136261078,71,1574069790136056075,base_link,118000.0,218000.0,-373000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790385455171,72,1574069790385095431,base_link,114000.0,218000.0,-368000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790614672254,73,1574069790614463070,base_link,106000.0,217000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069790862016097,74,1574069790861781913,base_link,114000.0,217000.0,-376000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791105318907,75,1574069791105118414,base_link,116000.0,218000.0,-367000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791340517564,76,1574069791340102459,base_link,109000.0,220000.0,-372000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791590771657,77,1574069791590498164,base_link,107000.0,217000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069791814971031,78,1574069791814570745,base_link,115000.0,218000.0,-380000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792055815600,79,1574069792055632475,base_link,116000.0,221000.0,-375000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792311370778,80,1574069792311056739,base_link,111000.0,219000.0,-371000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792529456106,81,1574069792529269867,base_link,109000.0,221000.0,-370000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1574069792786689257,82,1574069792786325525,base_link,115000.0,217000.0,-376000.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
