%time,field.header.seq,field.header.stamp,field.header.frame_id,field.connected,field.armed,field.guided,field.manual_input,field.mode,field.system_status
1574069785509805904,39,1574069784744614073,,1,0,0,1,ALT_HOLD,3
1574069785737815566,40,1574069785737666876,,1,0,0,1,ALT_HOLD,3
1574069786831146764,41,1574069786830785187,,1,0,0,1,ALT_HOLD,3
1574069787829675800,42,1574069787829306253,,1,0,0,1,ALT_HOLD,3
1574069788783166967,43,1574069788782816535,,1,0,0,1,ALT_HOLD,3
1574069789741273729,44,1574069789741034077,,1,0,0,1,ALT_HOLD,3
1574069790737786380,45,1574069790737594634,,1,0,0,1,ALT_HOLD,3
1574069791739159334,46,1574069791738809210,,1,0,0,1,ALT_HOLD,3
1574069792846370167,47,1574069792846013433,,1,0,0,1,ALT_HOLD,3
1574069793790932012,48,1574069793790558775,,1,1,0,1,ALT_HOLD,3
1574069794754259920,49,1574069794753962969,,1,1,0,1,ALT_HOLD,3
1574069795740084281,50,1574069795739726850,,1,1,0,1,ALT_HOLD,3
1574069796752956057,51,1574069796752551270,,1,1,0,1,ALT_HOLD,3
1574069797739525197,52,1574069797739191086,,1,1,0,1,ALT_HOLD,3
1574069798756491281,53,1574069798756127994,,1,1,0,1,ALT_HOLD,3
1574069799744855685,54,1574069799744687459,,1,1,0,1,ALT_HOLD,3
1574069800790842997,55,1574069800790648729,,1,1,0,1,ALT_HOLD,3
1574069801740149184,56,1574069801739958397,,1,1,0,1,ALT_HOLD,3
1574069802742887744,57,1574069802742638311,,1,1,0,1,ALT_HOLD,3
1574069803791963887,58,1574069803791715723,,1,1,0,1,ALT_HOLD,3
1574069804781698449,59,1574069804781512316,,1,1,0,1,ALT_HOLD,3
1574069805745252245,60,1574069805745054063,,1,1,0,1,ALT_HOLD,4
1574069806745159251,61,1574069806744880345,,1,1,0,1,ALT_HOLD,4
1574069807745484358,62,1574069807745389530,,1,1,0,1,ALT_HOLD,4
1574069808756686624,63,1574069808756504061,,1,1,0,1,ALT_HOLD,4
1574069809739028761,64,1574069809738638498,,1,1,0,1,ALT_HOLD,4
1574069810751315857,65,1574069810751064918,,1,1,0,1,ALT_HOLD,4
1574069811757066573,66,1574069811756693765,,1,1,0,1,ALT_HOLD,4
1574069812743696225,67,1574069812743386803,,1,1,0,1,ALT_HOLD,4
1574069813748033499,68,1574069813747792654,,1,1,0,1,ALT_HOLD,4
