%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1574069785753158673,53,1574069785753077591,,982,982,982,982,982,982,0,0
1574069785989592960,54,1574069785989354558,,982,982,982,982,982,982,0,0
1574069786224122105,55,1574069786223941302,,982,982,982,982,982,982,0,0
1574069786472475107,56,1574069786472103832,,982,982,982,982,982,982,0,0
1574069786715521301,57,1574069786715292458,,982,982,982,982,982,982,0,0
1574069786960854607,58,1574069786960500032,,982,982,982,982,982,982,0,0
1574069787191638418,59,1574069787191331612,,982,982,982,982,982,982,0,0
1574069787433801700,60,1574069787433414818,,982,982,982,982,982,982,0,0
1574069787680615750,61,1574069787680346584,,982,982,982,982,982,982,0,0
1574069787920914192,62,1574069787920516281,,982,982,982,982,982,982,0,0
1574069788156602827,63,1574069788156199138,,982,982,982,982,982,982,0,0
1574069788386141704,64,1574069788385751904,,982,982,982,982,982,982,0,0
1574069788629023782,65,1574069788628713468,,982,982,982,982,982,982,0,0
1574069788873073144,66,1574069788872706476,,982,982,982,982,982,982,0,0
1574069789118052947,67,1574069789117862610,,982,982,982,982,982,982,0,0
1574069789348803363,68,1574069789348458572,,982,982,982,982,982,982,0,0
1574069789585742337,69,1574069789585523376,,982,982,982,982,982,982,0,0
1574069789833073543,70,1574069789832624906,,982,982,982,982,982,982,0,0
1574069790076047016,71,1574069790075849939,,982,982,982,982,982,982,0,0
1574069790313774216,72,1574069790313467688,,982,982,982,982,982,982,0,0
1574069790557898048,73,1574069790557705476,,982,982,982,982,982,982,0,0
1574069790800177897,74,1574069790799932620,,982,982,982,982,982,982,0,0
1574069791028003292,75,1574069791027792318,,982,982,982,982,982,982,0,0
1574069791280963925,76,1574069791280577268,,982,982,982,982,982,982,0,0
1574069791505163248,77,1574069791504912921,,982,982,982,982,982,982,0,0
1574069791754648831,78,1574069791754353050,,982,982,982,982,982,982,0,0
1574069792000643731,79,1574069792000482946,,982,982,982,982,982,982,0,0
1574069792229028348,80,1574069792228654680,,982,982,982,982,982,982,0,0
1574069792469868012,81,1574069792469641037,,982,982,982,982,982,982,0,0
1574069792710073546,82,1574069792709616052,,982,982,982,982,982,982,0,0
1574069792944899592,83,1574069792944673421,,982,982,982,982,982,982,0,0
1574069793196871604,84,1574069793196534592,,982,982,982,982,982,982,0,0
1574069793425729090,85,1574069793425516579,,982,982,982,982,982,982,0,0
1574069793676224988,86,1574069793675865897,,982,982,982,982,982,982,0,0
1574069794011017424,87,1574069794010899586,,982,982,982,982,982,982,0,0
1574069794276487251,88,1574069794276124597,,982,982,982,982,982,982,0,0
1574069794555167927,89,1574069794554909283,,982,982,982,982,982,982,0,0
1574069794830630236,90,1574069794830185960,,982,982,982,982,982,982,0,0
1574069795120054030,91,1574069795119722100,,982,982,982,982,982,982,0,0
1574069795402092064,92,1574069795401862803,,982,982,982,982,982,982,0,0
1574069795706475969,93,1574069795706158988,,982,982,982,982,982,982,0,0
1574069795991290487,94,1574069795991095613,,1078,1078,1078,1078,1078,1078,0,0
1574069796245255979,95,1574069796244903610,,1084,1084,1084,1084,1084,1084,0,0
1574069796614168919,96,1574069796613750260,,1084,1084,1084,1084,1084,1084,0,0
1574069796875715530,97,1574069796875493192,,1084,1084,1084,1084,1084,1084,0,0
1574069797159378253,98,1574069797158973063,,1084,1084,1084,1084,1084,1084,0,0
1574069797384293073,99,1574069797384122388,,1084,1084,1084,1084,1084,1084,0,0
1574069797687263755,100,1574069797686861611,,1084,1084,1084,1084,1084,1084,0,0
1574069797968846615,101,1574069797968605809,,1084,1084,1084,1084,1084,1084,0,0
1574069798290972267,102,1574069798290710379,,1084,1084,1084,1084,1084,1084,0,0
1574069798584591110,103,1574069798584276273,,1084,1084,1084,1084,1084,1084,0,0
1574069798806657209,104,1574069798806406137,,1084,1084,1084,1084,1084,1084,0,0
1574069799110123926,105,1574069799109696654,,1084,1084,1084,1084,1084,1084,0,0
1574069799386668825,106,1574069799386387629,,1084,1084,1084,1084,1084,1084,0,0
1574069799725984913,107,1574069799725605355,,1084,1084,1084,1084,1084,1084,0,0
1574069799992603415,108,1574069799992294047,,1084,1084,1084,1084,1084,1084,0,0
1574069800275335831,109,1574069800275094238,,1084,1084,1084,1084,1084,1084,0,0
1574069800582170361,110,1574069800581736109,,1084,1084,1084,1084,1084,1084,0,0
1574069800847496794,111,1574069800847290931,,1084,1084,1084,1084,1084,1084,0,0
1574069801168425364,112,1574069801168118238,,1084,1084,1084,1084,1084,1084,0,0
1574069801432944203,113,1574069801432688997,,1084,1084,1084,1084,1084,1084,0,0
1574069801719061623,114,1574069801718657856,,1084,1084,1084,1084,1084,1084,0,0
1574069801993335077,115,1574069801993096092,,1084,1084,1084,1084,1084,1084,0,0
1574069802264369100,116,1574069802264071379,,1084,1084,1084,1084,1084,1084,0,0
1574069802637306906,117,1574069802637008517,,1084,1084,1084,1084,1084,1084,0,0
1574069802924367356,118,1574069802924197860,,1084,1084,1084,1084,1084,1084,0,0
1574069803136068350,119,1574069803135728515,,1084,1084,1084,1084,1084,1084,0,0
1574069803412330590,120,1574069803412130619,,1114,1114,1114,1114,1114,1114,0,0
1574069803671928344,121,1574069803671586663,,1156,1135,1143,1148,1153,1138,0,0
1574069803951842816,122,1574069803951715142,,1159,1146,1157,1148,1169,1135,0,0
1574069804289614594,123,1574069804289461166,,1162,1144,1157,1150,1171,1135,0,0
1574069804580879794,124,1574069804580581954,,1166,1142,1162,1146,1172,1135,0,0
1574069804854816383,125,1574069804854606955,,1156,1146,1151,1151,1166,1135,0,0
1574069805155689619,126,1574069805155327343,,1206,1179,1195,1190,1209,1175,0,0
1574069805403198225,127,1574069805403026616,,1325,1312,1320,1317,1330,1307,0,0
1574069805695858587,128,1574069805695644367,,1467,1455,1459,1464,1464,1458,0,0
1574069806013833846,129,1574069806013571904,,1586,1537,1569,1555,1556,1568,0,0
1574069806322278314,130,1574069806322176153,,1666,1632,1668,1629,1645,1653,0,0
1574069806573445522,131,1574069806573088563,,1707,1668,1699,1676,1674,1700,0,0
1574069806846628046,132,1574069806846451705,,1774,1743,1770,1746,1747,1769,0,0
1574069807165737744,133,1574069807165408626,,1852,1813,1852,1813,1828,1838,0,0
1574069807497907413,134,1574069807497613004,,1905,1887,1909,1882,1890,1902,0,0
1574069807792743766,135,1574069807792584827,,1954,1925,1951,1929,1930,1949,0,0
1574069808120942111,136,1574069808120576912,,1950,1919,1944,1925,1915,1954,0,0
1574069808366864139,137,1574069808366550295,,1954,1892,1948,1899,1895,1951,0,0
1574069808670872642,138,1574069808670510787,,1954,1848,1945,1859,1849,1953,0,0
1574069808952192340,139,1574069808952017841,,1954,1854,1942,1868,1858,1951,0,0
1574069809272457207,140,1574069809272309114,,1945,1876,1929,1892,1866,1954,0,0
1574069809574852585,141,1574069809574558950,,1947,1876,1926,1898,1868,1954,0,0
1574069809830045075,142,1574069809829895948,,1952,1862,1925,1891,1860,1954,0,0
1574069810087494422,143,1574069810087116782,,1942,1853,1908,1889,1839,1954,0,0
1574069810370007022,144,1574069810369672964,,1944,1825,1905,1866,1812,1954,0,0
1574069810647667492,145,1574069810647331298,,1944,1833,1910,1870,1821,1954,0,0
1574069810938620965,146,1574069810938399344,,1934,1840,1892,1884,1817,1954,0,0
1574069811236134579,147,1574069811235758682,,1938,1858,1894,1903,1840,1954,0,0
1574069811492716959,148,1574069811492491985,,1943,1857,1900,1903,1845,1954,0,0
1574069811772435238,149,1574069811772035948,,1943,1855,1903,1897,1842,1954,0,0
1574069812071960485,150,1574069812071750694,,1949,1857,1908,1901,1852,1954,0,0
1574069812398552666,151,1574069812398398295,,1954,1864,1918,1903,1865,1953,0,0
1574069812723503635,152,1574069812723236693,,1948,1872,1914,1907,1865,1954,0,0
1574069812969498794,153,1574069812969318784,,1952,1874,1924,1903,1871,1954,0,0
1574069813245019154,154,1574069813244612645,,1944,1872,1936,1881,1861,1954,0,0
1574069813533743302,155,1574069813533610986,,1938,1869,1907,1901,1851,1954,0,0
1574069813832922754,156,1574069813832539643,,1925,1871,1917,1879,1839,1954,0,0
1574069814127027783,157,1574069814126917252,,1937,1863,1941,1860,1844,1954,0,0
1574069814403827885,158,1574069814403461994,,1941,1845,1933,1853,1830,1954,0,0
1574069814692547053,159,1574069814692358729,,1954,1852,1945,1862,1870,1938,0,0
1574069814990529240,160,1574069814990310192,,1939,1803,1949,1792,1785,1954,0,0
1574069815273356106,161,1574069815273077541,,1954,1864,1952,1867,1869,1950,0,0
1574069815561815943,162,1574069815561634532,,1936,1838,1930,1845,1818,1954,0,0
1574069815810691069,163,1574069815810311572,,1949,1850,1954,1845,1844,1954,0,0
1574069816088535877,164,1574069816088382207,,1943,1853,1943,1853,1841,1954,0,0
1574069816332141772,165,1574069816331776175,,1929,1861,1954,1833,1851,1938,0,0
1574069816572712138,166,1574069816572621268,,1933,1873,1954,1850,1867,1939,0,0
1574069816834260414,167,1574069816833854618,,1933,1880,1954,1856,1857,1954,0,0
1574069817107299308,168,1574069817107163905,,1924,1862,1954,1828,1836,1947,0,0
1574069817372235817,169,1574069817371930921,,1922,1846,1954,1810,1813,1951,0,0
1574069817670447698,170,1574069817670244468,,1918,1842,1954,1802,1809,1948,0,0
1574069817922910568,171,1574069817922705305,,1920,1853,1954,1815,1820,1950,0,0
1574069818145126676,172,1574069818144806850,,1898,1862,1954,1799,1827,1930,0,0
1574069818448577647,173,1574069818448198705,,1903,1868,1954,1811,1839,1930,0,0
1574069818712351023,174,1574069818712012805,,1918,1855,1954,1814,1827,1943,0,0
1574069818972181691,175,1574069818971914160,,1903,1863,1954,1806,1828,1935,0,0
1574069819233149555,176,1574069819232727080,,1870,1863,1954,1770,1808,1922,0,0
1574069819491935308,177,1574069819491613017,,1870,1881,1954,1790,1821,1927,0,0
1574069819751017078,178,1574069819750642988,,1863,1891,1954,1793,1832,1920,0,0
1574069820010530847,179,1574069820010304507,,1861,1893,1954,1793,1832,1920,0,0
1574069820291945603,180,1574069820291602136,,1867,1899,1954,1806,1855,1911,0,0
1574069820613420530,181,1574069820613254207,,1873,1889,1954,1801,1855,1906,0,0
1574069820850555123,182,1574069820850178338,,1885,1897,1954,1823,1870,1911,0,0
