%time,field.data
1574069785621608352,14
1574069785858313601,14
1574069786110627315,14
1574069786356809066,14
1574069786578919564,14
1574069786823741917,14
1574069787069693997,13
1574069787307775281,13
1574069787558563731,13
1574069787790403789,13
1574069788020668973,13
1574069788273703174,13
1574069788510976911,13
1574069788751508250,13
1574069788980401124,13
1574069789230765464,13
1574069789453835493,13
1574069789711241655,14
1574069789947095670,13
1574069790192208221,14
1574069790441608329,14
1574069790669859281,14
1574069790902475048,13
1574069791150269837,13
1574069791387577460,13
1574069791616112596,13
1574069791870183982,13
1574069792105950148,13
1574069792353811019,13
1574069792581493086,13
1574069792831462282,12
1574069793080324408,13
1574069793304958619,13
1574069793549592257,13
1574069793783247137,13
1574069793989355052,13
1574069794256415558,13
1574069794511068028,13
1574069794769402247,13
1574069795046009532,13
1574069795295616157,13
1574069795530249979,13
1574069795787104577,13
1574069796054664849,13
1574069796348388588,13
1574069796573637956,13
1574069796855296366,13
1574069797108424358,13
1574069797364957511,13
1574069797642544192,13
1574069797883108422,13
1574069798135398283,13
1574069798388643235,13
1574069798645704599,13
1574069798911080172,14
1574069799174622472,14
1574069799440081750,14
1574069799690744115,14
1574069799972740300,14
1574069800235087648,14
1574069800491160991,14
1574069800774340933,14
1574069801012661318,14
1574069801273365506,14
1574069801532067283,14
1574069801790990511,14
1574069802048072444,13
1574069802315628201,14
1574069802603500688,14
1574069802865605872,14
1574069803092293207,14
1574069803347755823,14
1574069803591620824,14
1574069803855035682,14
1574069804135040525,14
1574069804368220451,14
1574069804630348105,14
1574069804891639502,14
1574069805130555370,14
1574069805372618758,14
1574069805652907016,14
1574069805892332937,14
1574069806156122396,14
1574069806409463276,14
1574069806722393725,14
1574069807012305298,14
1574069807237078904,14
1574069807472137012,14
1574069807727202113,13
1574069808001541591,13
1574069808232931974,14
1574069808494777809,14
1574069808755053648,14
1574069809010211183,14
1574069809304450806,14
1574069809539375986,14
1574069809811265755,14
1574069810062050157,14
1574069810307126132,14
1574069810571244245,14
1574069810829092616,14
1574069811087986665,14
1574069811351824338,14
1574069811587957427,14
1574069811851856009,14
1574069812116683411,14
1574069812398115955,14
1574069812629523864,14
1574069812889515385,14
1574069813175382920,14
1574069813430547843,14
1574069813722456597,14
1574069813946774116,14
1574069814211015415,14
1574069814476974189,14
1574069814734665644,13
1574069814970356490,13
1574069815249758429,14
1574069815472538478,13
1574069815706729413,13
1574069815952960163,14
1574069816190146033,14
1574069816430194807,14
1574069816666711709,13
1574069816909837493,14
1574069817145720112,14
1574069817413131452,14
1574069817659932986,14
1574069817866065583,14
1574069818105158864,14
1574069818366141835,14
1574069818625480984,14
1574069818873671054,14
1574069819114988916,14
1574069819347096880,14
1574069819590915488,14
1574069819866274214,13
1574069820065433762,13
1574069820330326704,14
