%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.location,field.serial_number
1574069785560115534,52,1574069785559836924,,16.4230003357,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069785790399630,53,1574069785790309284,,16.4710006714,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069786030605297,54,1574069786030391670,,16.3600006104,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069786276376661,55,1574069786276089438,,16.3640003204,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069786512714429,56,1574069786512468149,,16.4179992676,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069786758617826,57,1574069786758365543,,16.4729995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069787008251250,58,1574069787008031875,,16.357000351,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069787232831350,59,1574069787232638147,,16.361000061,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069787480242586,60,1574069787480043001,,16.4039993286,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069787731933110,61,1574069787731642116,,16.4729995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069787956870560,62,1574069787956498305,,16.3549995422,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069788191493353,63,1574069788191224963,,16.3579998016,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069788443210540,64,1574069788442921679,,16.4090003967,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069788691153057,65,1574069788690923524,,16.4740009308,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069788912135213,66,1574069788911812686,,16.3549995422,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069789155261042,67,1574069789155030824,,16.3579998016,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069789392911276,68,1574069789392530801,,16.3439998627,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069789631908986,69,1574069789631758938,,16.4729995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069789881236213,70,1574069789880897779,,16.452999115,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069790111580083,71,1574069790111389946,,16.3560009003,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069790361233306,72,1574069790360909017,,16.3409996033,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069790608022480,73,1574069790607887989,,16.4270000458,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069790842837427,74,1574069790842647820,,16.4470005035,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069791090104406,75,1574069791089904789,,16.361000061,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069791322958712,76,1574069791322579646,,16.3349990845,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069791551229796,77,1574069791551046667,,16.4349994659,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069791790673829,78,1574069791790345112,,16.4710006714,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069792042470610,79,1574069792042299036,,16.3589992523,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069792288586099,80,1574069792288255971,,16.361000061,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069792510854504,81,1574069792510652419,,16.4349994659,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069792769055215,82,1574069792768798421,,16.4750003815,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069792995374691,83,1574069792995182989,,16.3560009003,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069793231528042,84,1574069793231161851,,16.3560009003,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069793480967914,85,1574069793480817951,,16.4060001373,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069793716883250,86,1574069793716498451,,16.4710006714,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069794047975400,87,1574069794047806316,,16.3470001221,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069794354563489,88,1574069794354267275,,16.2770004272,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069794705402691,89,1574069794705047389,,16.3400001526,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069795004764179,90,1574069795004628098,,16.3479995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069795331243442,91,1574069795330873204,,16.2889995575,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069795616119978,92,1574069795615816818,,16.3409996033,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069795969697293,93,1574069795969488788,,16.3479995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069796300532429,94,1574069796300181014,,16.3400001526,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069796667158792,95,1574069796666849086,,16.3519992828,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069796951832771,96,1574069796951661798,,16.3479995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069797276527301,97,1574069797276229140,,16.3120002747,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069797596075379,98,1574069797595805456,,16.3010005951,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069797932621053,99,1574069797932433946,,16.3439998627,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069798229723568,100,1574069798229386173,,16.313999176,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069798557684138,101,1574069798557370424,,16.3530006409,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069798870349625,102,1574069798870186841,,16.3530006409,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069799214120016,103,1574069799213757012,,16.2870006561,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069799533706058,104,1574069799533290233,,16.3530006409,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069799808347927,105,1574069799808137058,,16.3479995728,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069800110974734,106,1574069800110559964,,16.3530006409,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069800393984318,107,1574069800393730109,,16.2889995575,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069800738263916,108,1574069800738094221,,16.3519992828,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069801057100382,109,1574069801056767858,,16.3530006409,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069801329406975,110,1574069801329215722,,16.2940006256,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069801605508256,111,1574069801605139506,,16.3470001221,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069801930852205,112,1574069801930670180,,16.3490009308,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069802225773172,113,1574069802225411452,,16.3549995422,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069802560158587,114,1574069802559795953,,16.2950000763,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069802904556600,115,1574069802904351012,,16.3519992828,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069803182639582,116,1574069803182331152,,16.3180007935,-0.0,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069803472211723,117,1574069803471993829,,16.3040008545,-0.0599999986589,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069803768251770,118,1574069803768035545,,16.3500003815,-0.0900000035763,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069804084942767,119,1574069804084597550,,16.343000412,-0.10000000149,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069804449940384,120,1574069804449702840,,16.3500003815,-0.10000000149,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069804736253933,121,1574069804736087389,,16.3460006714,-0.119999997318,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069805045247882,122,1574069805044880919,,16.3439998627,-0.259999990463,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069805310477884,123,1574069805310247461,,16.3029994965,-0.540000021458,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069805608722520,124,1574069805608390806,,16.329000473,-1.65999996662,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069805930075565,125,1574069805929935752,,16.3180007935,-1.92999994755,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069806269513298,126,1574069806269239024,,16.2740001678,-2.25999999046,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069806663496561,127,1574069806663196692,,16.3159999847,-2.26999998093,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069806975121589,128,1574069806974988416,,16.3069992065,-2.68000006676,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069807282147439,129,1574069807281973336,,16.2399997711,-2.65000009537,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069807620654938,130,1574069807620251647,,16.3029994965,-2.97000002861,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069807951414167,131,1574069807951215227,,16.2900009155,-2.50999999046,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069808288087663,132,1574069808287741284,,16.2369995117,-2.30999994278,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069808578172118,133,1574069808577787911,,16.3069992065,-2.11999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069808911845619,134,1574069808911669338,,16.311000824,-2.45000004768,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069809231820101,135,1574069809231419919,,16.3069992065,-2.5,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069809619870849,136,1574069809619574660,,16.3059997559,-2.34999990463,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069809919694147,137,1574069809919498850,,16.3120002747,-2.36999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069810190624251,138,1574069810190247576,,16.3169994354,-2.29999995232,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069810475915591,139,1574069810475733478,,16.2770004272,-2.31999993324,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069810789733980,140,1574069810789358537,,16.3120002747,-2.36999988556,nan,nan,nan,0.990000009537,2,0,0,1,id0,
1574069811133353046,141,1574069811132964177,,16.263999939,-2.48000001907,nan,nan,nan,0.990000009537,2,0,0,1,id0,
