%time,field.data
1574069785712557654,62.85
1574069785952377171,62.86
1574069786192758505,62.86
1574069786433290708,62.86
1574069786666905370,62.86
1574069786912742239,62.87
1574069787152273004,62.86
1574069787393221491,62.87
1574069787635872069,62.87
1574069787875373601,62.87
1574069788112827598,62.87
1574069788353995620,62.87
1574069788590010079,62.87
1574069788832714131,62.88
1574069789072361203,62.88
1574069789313089475,62.88
1574069789546518087,62.89
1574069789792377182,62.88
1574069790032460926,62.89
1574069790272613456,62.9
1574069790512158780,62.9
1574069790751892038,62.9
1574069790992617372,62.9
1574069791231005940,62.9
1574069791471451571,62.9
1574069791710243205,62.89
1574069791951756565,62.89
1574069792192438529,62.9
1574069792430033517,62.89
1574069792670815227,62.89
1574069792908088199,62.89
1574069793151772264,62.89
1574069793390459422,62.89
1574069793630426753,62.89
1574069793911209047,62.89
1574069794212640663,62.89
1574069794523665106,62.9
1574069794793141802,62.9
1574069795072549148,62.89
1574069795353196496,62.89
1574069795674333931,62.88
1574069795916563086,62.87
1574069796200082033,62.86
1574069796467189761,62.86
1574069796753987628,62.85
1574069797034665206,62.85
1574069797339353886,62.84
1574069797614398081,62.84
1574069797883856202,62.83
1574069798172965836,62.82
1574069798434066963,62.81
1574069798697064366,62.8
1574069798995415376,62.79
1574069799271648728,62.78
1574069799557493953,62.77
1574069799833440219,62.78
1574069800126768899,62.72
1574069800430773687,62.77
1574069800696105897,62.72
1574069800972632951,62.7
1574069801279389570,62.78
1574069801548766823,62.78
1574069801832335813,62.81
1574069802133210180,62.91
1574069802411661301,62.87
1574069802687366847,62.84
1574069802972053383,62.82
1574069803227713247,62.88
1574069803509055493,62.8
1574069803832273564,62.86
1574069804107032361,62.77
1574069804386210125,62.72
1574069804648397756,62.72
1574069804932157820,62.65
1574069805190915799,62.65
1574069805481885293,62.63
1574069805745803123,62.43
1574069806032499799,63.97
1574069806347481933,64.91
1574069806616299651,65.02
1574069806905176503,65.03
1574069807206601498,65.35
1574069807490242624,64.98
1574069807745809513,64.89
1574069808026576745,65.1
1574069808312421204,66.76
1574069808632676154,71.47
1574069808872185672,72.8
1574069809151445868,71.52
1574069809431756016,69.76
1574069809712197364,69.32
1574069809972165218,70.02
1574069810275633942,71.03
1574069810585559019,71.88
1574069810844907388,70.8
1574069811159572184,68.78
1574069811433019012,67.79
1574069811670517219,67.45
1574069811965703270,67.79
1574069812247004747,67.47
1574069812536008095,66.93
1574069812808068218,66.26
1574069813092163633,66.47
1574069813408323758,67.17
1574069813739502870,66.31
1574069813990443316,67.3
1574069814252772332,68.87
1574069814531605332,69.73
1574069814843957302,69.52
1574069815092739459,73.2
1574069815353169822,69.95
1574069815610032331,70.1
1574069815872008866,69.99
1574069816130354512,69.11
1574069816388405897,67.9
1574069816684355341,66.75
1574069816933503872,67.54
1574069817192018824,68.65
1574069817475958345,70.22
1574069817732866194,70.51
1574069817985143959,69.39
1574069818255318948,68.25
1574069818530641518,67.16
1574069818804472411,67.93
1574069819047733770,67.29
1574069819312883978,66.97
1574069819605472250,65.6
1574069819901098174,64.06
1574069820152283366,63.22
1574069820433690579,62.29
1574069820685183825,62.2
1574069820932580761,61.39
1574069821197366514,60.13
1574069821460334425,60.44
1574069821712795767,60.83
1574069821976818971,63.31
1574069822284734960,63.24
1574069822560112367,62.33
1574069822791915680,60.94
1574069823048119223,59.71
1574069823319997232,59.35
1574069823597139927,59.9
1574069823849246907,60.95
1574069824121763900,61.92
1574069824374118436,62.04
1574069824633104171,61.84
1574069824927637147,61.67
1574069825171552728,60.77
1574069825463248152,61.0
1574069825711666318,61.43
1574069825975712103,61.09
1574069826232251060,62.05
1574069826491132422,61.74
1574069826753544950,61.5
1574069827036222711,61.49
1574069827332617380,61.43
1574069827557102299,61.22
1574069827811895623,60.2
1574069828076222790,59.01
1574069828368378005,58.46
1574069828630554904,60.18
1574069828871610795,61.48
1574069829132661308,61.23
1574069829394375961,60.9
1574069829647559285,61.21
1574069829907326002,61.65
1574069830196489290,62.05
1574069830464915873,61.96
1574069830730202830,62.5
1574069830990302119,62.26
1574069831288841734,62.2
1574069831534369575,62.41
1574069831819400057,62.53
1574069832091085090,62.86
1574069832369453435,63.25
1574069832655793837,63.46
1574069832889717799,63.34
1574069833144449457,62.56
1574069833413866910,62.53
1574069833693788994,63.51
1574069833951968579,63.79
1574069834243278240,63.45
1574069834516412627,63.25
1574069834806757314,63.48
1574069835019456461,63.74
1574069835275936503,63.75
1574069835536682136,63.71
1574069835794521042,64.18
1574069836057106093,64.49
1574069836306874941,64.19
1574069836575407140,63.7
1574069836832363115,63.96
1574069837120735131,64.32
1574069837409252824,64.49
1574069837646701699,63.92
1574069837895153918,64.04
1574069838156923870,63.72
1574069838410798415,63.25
1574069838671796565,63.35
1574069838929506983,62.35
1574069839190180966,60.83
1574069839451679515,60.63
1574069839710215536,60.41
1574069840003766536,60.13
1574069840296114001,59.09
1574069840558638346,58.85
1574069840830243396,60.75
1574069841081444253,61.58
1574069841333197101,62.08
1574069841611687364,62.43
1574069841876353011,62.51
1574069842136013567,63.15
1574069842388462809,63.03
1574069842685274359,63.2
1574069842984240473,63.51
1574069843227452242,64.72
1574069843512252265,65.66
1574069843792909440,65.27
1574069844045181312,64.89
1574069844311870859,65.14
1574069844629814972,64.93
1574069844838776146,65.75
1574069845092713051,66.17
1574069845348919723,66.92
1574069845611994733,66.58
1574069845928082675,67.1
1574069846172500902,66.95
1574069846432720127,66.93
1574069846669797634,67.54
1574069846910666330,67.68
1574069847147063712,67.61
1574069847393093614,67.76
1574069847630369686,68.72
1574069847873430806,68.36
1574069848109612018,69.07
1574069848353143839,68.76
1574069848591879290,69.2
1574069848829854193,69.24
1574069849072778223,69.38
1574069849310507324,70.29
1574069849552407008,70.33
1574069849791431042,70.38
1574069850028177916,70.44
1574069850266868550,70.5
1574069850512390751,70.56
1574069850750171119,70.61
1574069850990193186,70.66
1574069851231298291,70.7
1574069851469552276,70.74
1574069851710486785,70.79
1574069851946825014,70.83
1574069852192637147,70.87
1574069852429945019,70.92
1574069852666141320,70.97
1574069852911620725,71.01
1574069853150132536,71.06
1574069853390068164,71.09
1574069853631865234,71.13
1574069853870654229,71.17
1574069854109963059,71.21
1574069854353121023,71.26
1574069854591551326,71.3
1574069854832064858,71.34
1574069855069751991,71.38
1574069855310893623,71.43
1574069855550027717,71.48
1574069855792557735,71.52
1574069856030184615,71.56
1574069856271043254,71.6
1574069856509685729,71.64
1574069856750207303,71.67
1574069856992156770,71.7
1574069857227203175,71.74
1574069857470123420,71.78
1574069857712719943,71.83
1574069857949185705,71.88
1574069858190189265,71.92
1574069858429599111,71.96
1574069858672250502,72.0
1574069858911737817,72.04
1574069859151751621,72.08
1574069859389140779,72.11
1574069859631108383,72.15
1574069859871147441,72.17
1574069860110129358,72.2
1574069860352928253,72.24
1574069860592439235,72.28
1574069860830800185,72.32
1574069861064471329,72.36
1574069861310976472,72.4
1574069861549251272,72.45
1574069861789364696,72.49
1574069862030173824,72.52
1574069862271729424,72.56
1574069862511937208,72.6
1574069862745616331,72.64
1574069862989697203,72.68
1574069863229368211,72.72
1574069863471945866,72.75
1574069863711626319,72.79
1574069863952717947,72.83
1574069864190901670,72.86
1574069864428639294,72.9
1574069864674884562,72.93
1574069864911111550,72.97
