%time,field.header.seq,field.header.stamp,field.header.frame_id,field.rssi,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7,field.channels8,field.channels9,field.channels10,field.channels11,field.channels12,field.channels13,field.channels14,field.channels15
1574069785770174043,55,1574069785769986137,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069786012895365,56,1574069786012632242,,0,982,1495,1491,1475,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069786248129404,57,1574069786247946265,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069786493382850,58,1574069786492999315,,0,982,1495,1491,1475,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069786725627693,59,1574069786725459200,,0,982,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069786965278997,60,1574069786964871358,,0,982,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069787208041358,61,1574069787207886464,,0,982,1495,1491,1474,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069787466341183,62,1574069787465883768,,0,982,1495,1491,1475,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069787692781685,63,1574069787692485658,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069787931196256,64,1574069787930828905,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069788165532222,65,1574069788165314102,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069788405352912,66,1574069788405001077,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069788652514189,67,1574069788652261715,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069788890689145,68,1574069788890367134,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069789132850260,69,1574069789132637494,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069789370075140,70,1574069789369690579,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069789610154985,71,1574069789609986936,,0,982,1495,1491,1476,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069789851108407,72,1574069789850710120,,0,982,1495,1491,1478,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
1574069790092577935,73,1574069790092359725,,0,982,1495,1491,1478,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
