%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1574069785712966341,53,1574069785712742836,base_link,0.143508762121,0.0709669664502,-0.0604653954506,0.0,0.0,0.0
1574069785953076376,54,1574069785952704773,base_link,0.128834187984,0.0386361852288,-0.0635946989059,0.0,0.0,0.0
1574069786193059283,55,1574069786192777145,base_link,0.111505955458,0.00107089162339,-0.0675881877542,0.0,0.0,0.0
1574069786436757361,56,1574069786436379125,base_link,0.0961934626102,-0.0155623592436,-0.0695352330804,0.0,0.0,0.0
1574069786673415194,57,1574069786673173222,base_link,0.088152050972,-0.0135202016681,-0.0699771642685,0.0,0.0,0.0
1574069786913556301,58,1574069786913132463,base_link,0.0797838270664,-0.00899501238018,-0.0733548477292,0.0,0.0,0.0
1574069787152809481,59,1574069787152272004,base_link,0.0689991042018,0.000705785176251,-0.0769944563508,0.0,0.0,0.0
1574069787393868316,60,1574069787393422648,base_link,0.058506809175,-0.00433859042823,-0.0800049826503,0.0,0.0,0.0
1574069787636409766,61,1574069787636076753,base_link,0.053362801671,-0.0291365850717,-0.0795999541879,0.0,0.0,0.0
1574069787876176206,62,1574069787875732097,base_link,0.0391376055777,-0.0535193048418,-0.0791316628456,0.0,0.0,0.0
1574069788113211213,63,1574069788112958588,base_link,0.0296951532364,-0.0528597980738,-0.0796738788486,0.0,0.0,0.0
1574069788354793237,64,1574069788354338323,base_link,0.0225246995687,-0.0392340384424,-0.0778220593929,0.0,0.0,0.0
1574069788593380695,65,1574069788593095599,base_link,0.015609389171,-0.0306721888483,-0.0750469118357,0.0,0.0,0.0
1574069788833627578,66,1574069788833199200,base_link,0.00854065734893,-0.0273945052177,-0.0744826197624,0.0,0.0,0.0
1574069789072891088,67,1574069789072666270,base_link,0.00255495426245,-0.0234698429704,-0.0739751011133,0.0,0.0,0.0
1574069789313624912,68,1574069789313167484,base_link,-0.000263534748228,-0.028232332319,-0.0723233148456,0.0,0.0,0.0
1574069789555262773,69,1574069789554959277,base_link,-0.00185240176506,-0.0363253876567,-0.0694495663047,0.0,0.0,0.0
1574069789792894465,70,1574069789792456877,base_link,-0.00442629726604,-0.0341830849648,-0.0697841271758,0.0,0.0,0.0
1574069790036246495,71,1574069790035945911,base_link,-0.00997261051089,-0.0349400267005,-0.0690621137619,0.0,0.0,0.0
1574069790273395427,72,1574069790273011778,base_link,-0.0162675641477,-0.0444485396147,-0.0663824826479,0.0,0.0,0.0
1574069790512690856,73,1574069790512409504,base_link,-0.0116073861718,-0.0377155020833,-0.0655446872115,0.0,0.0,0.0
1574069790752247525,74,1574069790752043660,base_link,-0.0131891686469,-0.030094826594,-0.0659462660551,0.0,0.0,0.0
1574069790992870829,75,1574069790992592200,base_link,-0.0185240507126,-0.0196047853678,-0.0673169270158,0.0,0.0,0.0
1574069791234618515,76,1574069791234131396,base_link,-0.0229552313685,-0.00583798764274,-0.0678768903017,0.0,0.0,0.0
1574069791471527293,77,1574069791471369709,base_link,-0.0218006055802,-0.00819674041122,-0.065318852663,0.0,0.0,0.0
1574069791713743199,78,1574069791713299035,base_link,-0.0215810928494,-0.0119941066951,-0.0631319507957,0.0,0.0,0.0
1574069791952184163,79,1574069791951876863,base_link,-0.0228035692126,-0.0205101408064,-0.0615757778287,0.0,0.0,0.0
1574069792193423105,80,1574069792193045727,base_link,-0.0215021371841,-0.0310998540372,-0.0613836422563,0.0,0.0,0.0
1574069792433501613,81,1574069792433272599,base_link,-0.021936038509,-0.0400250665843,-0.0606687776744,0.0,0.0,0.0
1574069792674468969,82,1574069792674010095,base_link,-0.0232419837266,-0.0518150627613,-0.0573821216822,0.0,0.0,0.0
1574069792913305797,83,1574069792912179005,base_link,-0.0234022047371,-0.0593249872327,-0.0550430268049,0.0,0.0,0.0
1574069793152534018,84,1574069793152163309,base_link,-0.0246420279145,-0.0666844621301,-0.0537477061152,0.0,0.0,0.0
1574069793393043730,85,1574069793392849025,base_link,-0.0218825321645,-0.0639790520072,-0.0524296090007,0.0,0.0,0.0
1574069793642288555,86,1574069793642069782,base_link,-0.0194409769028,-0.06700643152,-0.0489352233708,0.0,0.0,0.0
1574069793913644472,87,1574069793913261224,base_link,-0.0174121595919,-0.093118019402,-0.0462532453239,0.0,0.0,0.0
1574069794213241927,88,1574069794212810935,base_link,-0.0174672137946,-0.122635953128,-0.0414084382355,0.0,0.0,0.0
1574069794532506363,89,1574069794532269838,base_link,-0.015567892231,-0.120365411043,-0.0370028801262,0.0,0.0,0.0
1574069794793688082,90,1574069794793198661,base_link,-0.0121287703514,-0.112672045827,-0.0340411141515,0.0,0.0,0.0
1574069795072903683,91,1574069795072660999,base_link,-0.00741880806163,-0.0980655401945,-0.031436342746,0.0,0.0,0.0
1574069795353736143,92,1574069795353487221,base_link,-0.00197329558432,-0.0805716589093,-0.0301636438817,0.0,0.0,0.0
1574069795688420272,93,1574069795688026709,base_link,0.0011736350134,-0.0817407220602,-0.0251808483154,0.0,0.0,0.0
1574069795916756172,94,1574069795916562090,base_link,0.0034952450078,-0.0910982191563,-0.02400900051,0.0,0.0,0.0
1574069796200842441,95,1574069796200448921,base_link,0.00624688062817,-0.101197697222,-0.0242680050433,0.0,0.0,0.0
1574069796482196147,96,1574069796481953435,base_link,0.0132286343724,-0.129619017243,-0.0217249561101,0.0,0.0,0.0
1574069796754606316,97,1574069796754249371,base_link,0.01925984025,-0.159633681178,-0.0169345829636,0.0,0.0,0.0
1574069797034832606,98,1574069797034535703,base_link,0.0217749979347,-0.188761025667,-0.0146420504898,0.0,0.0,0.0
1574069797339772368,99,1574069797339537429,base_link,0.0154672237113,-0.217947006226,-0.0128663191572,0.0,0.0,0.0
1574069797615023998,100,1574069797614636803,base_link,-0.00227757962421,-0.23271510005,-0.0074378522113,0.0,0.0,0.0
1574069797894848253,101,1574069797894548650,base_link,-0.00647750589997,-0.234784260392,-0.00575017882511,0.0,0.0,0.0
1574069798173975353,102,1574069798173446944,base_link,-0.00445555988699,-0.235061258078,-0.00548948068172,0.0,0.0,0.0
1574069798434535523,103,1574069798434260813,base_link,0.00309988833033,-0.231273412704,-0.00749724823982,0.0,0.0,0.0
1574069798697503072,104,1574069798697091925,base_link,0.0221131984144,-0.209690868855,-0.00870458222926,0.0,0.0,0.0
1574069799003214194,105,1574069799002947792,base_link,0.0396398901939,-0.194476783276,-0.0105375293642,0.0,0.0,0.0
1574069799271969181,106,1574069799271769656,base_link,0.0582700781524,-0.182771652937,-0.0110829472542,0.0,0.0,0.0
1574069799558023322,107,1574069799557535300,base_link,0.0679157525301,-0.162088468671,-0.0147259477526,0.0,0.0,0.0
1574069799835480313,108,1574069799835260472,base_link,0.0757129490376,-0.139845356345,-0.0199350584298,0.0,0.0,0.0
1574069800133599352,109,1574069800133135899,base_link,0.0899694636464,-0.10893215239,-0.0250251311809,0.0,0.0,0.0
1574069800431074356,110,1574069800430839940,base_link,0.0965421721339,-0.0981735661626,-0.0287612359971,0.0,0.0,0.0
1574069800696887187,111,1574069800696484420,base_link,0.124369449914,-0.0833517462015,-0.028934692964,0.0,0.0,0.0
1574069800973022580,112,1574069800972580309,base_link,0.132213905454,-0.0726345255971,-0.0299839153886,0.0,0.0,0.0
1574069801294687566,113,1574069801294475193,base_link,0.135912820697,-0.0598102994263,-0.0300547052175,0.0,0.0,0.0
1574069801554526608,114,1574069801553896042,base_link,0.137246593833,-0.056997936219,-0.0292358268052,0.0,0.0,0.0
1574069801832663378,115,1574069801832429809,base_link,0.131945937872,-0.0464730001986,-0.0272610932589,0.0,0.0,0.0
1574069802133967125,116,1574069802133497271,base_link,0.130269482732,-0.0453599505126,-0.0268306117505,0.0,0.0,0.0
1574069802412144290,117,1574069802411895132,base_link,0.125622004271,-0.0322878323495,-0.0270282775164,0.0,0.0,0.0
1574069802694089122,118,1574069802693564524,base_link,0.118190057576,-0.018697751686,-0.0249301958829,0.0,0.0,0.0
1574069802972408012,119,1574069802972103780,base_link,0.115607149899,0.00182608352043,-0.0265975408256,0.0,0.0,0.0
1574069803234800787,120,1574069803234351092,base_link,0.0918697938323,0.0152806099504,-0.0284913666546,0.0,0.0,0.0
1574069803516176128,121,1574069803515781783,base_link,0.0652892515063,0.0262990668416,-0.0305402800441,0.0,0.0,0.0
1574069803832565182,122,1574069803832359977,base_link,0.0635032877326,0.0378261581063,-0.0342629514635,0.0,0.0,0.0
1574069804118047230,123,1574069804117601133,base_link,0.0667094886303,0.0514148958027,-0.0403179563582,0.0,0.0,0.0
1574069804388375860,124,1574069804388021614,base_link,0.0583263970912,0.0560952797532,-0.0399790927768,0.0,0.0,0.0
1574069804654177892,125,1574069804653633111,base_link,0.0426381193101,0.0567184761167,-0.0385915488005,0.0,0.0,0.0
1574069804932353815,126,1574069804932194123,base_link,0.0343883782625,0.0518765598536,-0.0391145274043,0.0,0.0,0.0
1574069805198452634,127,1574069805198153211,base_link,0.0309166722,0.0515115186572,-0.0369369499385,0.0,0.0,0.0
1574069805482492463,128,1574069805481885406,base_link,0.0299658644944,0.0618268735707,-0.0372764021158,0.0,0.0,0.0
1574069805762135911,129,1574069805761889911,base_link,0.0203539822251,0.108276724815,-0.0180107206106,0.0,0.0,0.0
1574069806047431339,130,1574069806046976418,base_link,0.0621676184237,0.0902791470289,0.0999237298965,0.0,0.0,0.0
1574069806352201423,131,1574069806352000527,base_link,0.0494429320097,0.102622516453,0.100533001125,0.0,0.0,0.0
1574069806622139562,132,1574069806621682728,base_link,0.0932100713253,0.128075450659,0.2063459903,0.0,0.0,0.0
1574069806905459851,133,1574069806905277903,base_link,0.0899168401957,0.110782712698,0.172538399696,0.0,0.0,0.0
1574069807214439772,134,1574069807214164888,base_link,-0.00468000723049,0.0489804148674,0.188302397728,0.0,0.0,0.0
1574069807497322980,135,1574069807496929225,base_link,-0.0327071100473,0.0502284877002,0.220984473825,0.0,0.0,0.0
