%time,field.data
1574069785712541572,-0.863
1574069785952278800,-0.881
1574069786192724522,-0.897
1574069786433272489,-0.908
1574069786666903920,-0.916
1574069786912711525,-0.931
1574069787152271333,-0.947
1574069787393200300,-0.96
1574069787635832352,-0.966
1574069787875292596,-0.972
1574069788112820257,-0.978
1574069788353904948,-0.981
1574069788589966951,-0.979
1574069788832670941,-0.986
1574069789072355593,-0.995
1574069789313023970,-0.995
1574069789546516869,-0.994
1574069789792367544,-0.998
1574069790032456528,-0.999
1574069790272492031,-0.997
1574069790512131578,-0.997
1574069790751886610,-0.997
1574069790992413163,-1.003
1574069791230968729,-1.008
1574069791471450076,-1.002
1574069791710191978,-0.997
1574069791951752305,-0.996
1574069792192380676,-0.996
1574069792430019181,-0.993
1574069792670771912,-0.984
1574069792908080154,-0.978
1574069793151732083,-0.973
1574069793390454516,-0.964
1574069793630430339,-0.952
1574069793911170730,0.027
1574069794212621475,0.047
1574069794523664670,0.069
1574069794793132346,0.079
1574069795072537940,0.087
1574069795353187997,0.097
1574069795674316395,0.118
1574069795916524902,0.129
1574069796200069574,0.133
1574069796467201860,0.145
1574069796753897977,0.161
1574069797034614269,0.171
1574069797339348317,0.186
1574069797614384355,0.204
1574069797883834447,0.216
1574069798172953154,0.218
1574069798434061116,0.217
1574069798697020538,0.217
1574069798995392326,0.212
1574069799271623477,0.21
1574069799557429220,0.206
1574069799833435570,0.196
1574069800126755111,0.182
1574069800430694396,0.169
1574069800696092166,0.167
1574069800972607606,0.161
1574069801279385423,0.157
1574069801548725142,0.162
1574069801832282302,0.17
1574069802133187841,0.177
1574069802411656409,0.185
1574069802687348337,0.192
1574069802972049069,0.196
1574069803227665499,0.189
1574069803508979377,0.185
1574069803832237915,0.171
1574069804106952943,0.155
1574069804386204603,0.146
1574069804648352285,0.153
1574069804932092559,0.151
1574069805190839925,0.151
1574069805481864380,0.151
1574069805745798858,0.139
1574069806032493820,0.142
1574069806347464062,0.161
1574069806616315812,0.211
1574069806905125678,0.27
1574069807206547842,0.324
1574069807490221886,0.389
1574069807745739498,0.45
1574069808026496857,0.507
1574069808312414969,0.533
1574069808632662737,0.536
1574069808872151385,0.538
1574069809151396795,0.542
1574069809431748356,0.562
1574069809712170968,0.585
1574069809972142676,0.592
1574069810275528813,0.596
1574069810585512552,0.606
1574069810844894138,0.612
1574069811159558260,0.62
1574069811432990788,0.655
1574069811670473767,0.695
1574069811965699274,0.761
1574069812246926404,0.834
1574069812535983914,0.919
1574069812808043976,1.009
1574069813092129018,1.096
1574069813408306138,1.194
1574069813739498392,1.28
1574069813990454836,1.33
1574069814252751463,1.381
1574069814531434594,1.456
1574069814843940642,1.514
1574069815092720243,1.552
1574069815353086273,1.603
1574069815609949758,1.662
1574069815871951593,1.709
1574069816130332095,1.743
1574069816388390738,1.755
1574069816684348930,1.759
1574069816933466960,1.779
1574069817192020909,1.806
1574069817475864410,1.841
1574069817732808053,1.86
1574069817985108204,1.869
1574069818255254973,1.871
1574069818530642016,1.871
1574069818804376936,1.873
1574069819047708690,1.877
1574069819312878511,1.877
1574069819605447162,1.875
1574069819901078188,1.871
1574069820152280247,1.872
1574069820433670533,1.879
1574069820685179748,1.881
1574069820932576353,1.875
1574069821197305927,1.853
1574069821460326886,1.84
1574069821712783519,1.822
1574069821976768246,1.805
1574069822284711091,1.792
1574069822560150421,1.778
1574069822791865923,1.767
1574069823048059902,1.746
1574069823320003629,1.719
1574069823597012189,1.706
1574069823849243488,1.678
1574069824121726850,1.652
1574069824374110597,1.631
1574069824633101275,1.614
1574069824927607246,1.601
1574069825171525774,1.575
1574069825463224299,1.547
1574069825711647113,1.511
1574069825975625084,1.469
1574069826232249483,1.435
1574069826491119409,1.408
1574069826753537308,1.368
1574069827036174844,1.328
1574069827332596351,1.282
1574069827556998286,1.247
