%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1574069785621584801,52,1574069785621424087,base_link,0,1,40.3548507,-3.7441322,694.516612183,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069785858309060,53,1574069785858138123,base_link,0,1,40.3548502,-3.7441325,694.496611958,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786110625017,54,1574069786110338604,base_link,0,1,40.3548495,-3.7441328,694.686611541,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786356798524,55,1574069786356408699,base_link,0,1,40.3548485,-3.744133,694.596610748,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786578917013,56,1574069786578747487,base_link,0,1,40.3548486,-3.7441328,694.676610672,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786823725257,57,1574069786823320336,base_link,0,1,40.3548486,-3.7441326,694.6466105,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069787069640009,58,1574069787069432241,base_link,0,1,40.3548487,-3.7441323,694.576610338,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069787307754031,59,1574069787307332828,base_link,0,1,40.3548488,-3.7441319,694.40661009,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069787558500208,60,1574069787558266943,base_link,0,1,40.3548473,-3.744131,693.986607866,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069787790312573,61,1574069787789849606,base_link,0,1,40.3548466,-3.7441307,693.976606932,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788020608670,62,1574069788020399237,base_link,0,1,40.3548465,-3.7441305,694.006606663,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788273625615,63,1574069788273345510,base_link,0,1,40.3548468,-3.7441302,694.016606694,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788510978415,64,1574069788510716422,base_link,0,1,40.3548472,-3.74413,693.956606908,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788751462298,65,1574069788751078018,base_link,0,1,40.354847,-3.7441297,693.816606456,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
