%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1574069785712496425,0,1574069785712273355,base_link,0,1,40.3548519,-3.7441363,706.696616874,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069785952241052,1,1574069785951754837,base_link,0,1,40.3548514,-3.744136,706.676616133,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786192711630,2,1574069786192365652,base_link,0,1,40.3548506,-3.7441358,706.666615188,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786433245259,3,1574069786432829361,base_link,0,1,40.3548502,-3.7441357,706.656614715,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786666896779,4,1574069786666516517,base_link,0,1,40.3548502,-3.7441354,706.646614457,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069786912695947,5,1574069786912236939,base_link,0,1,40.3548502,-3.7441351,706.626614198,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069787152257939,6,1574069787151945599,base_link,0,1,40.3548504,-3.7441349,706.616614219,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069787393152621,7,1574069787392729551,base_link,0,1,40.3548503,-3.7441347,706.59661395,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069787635822978,8,1574069787635570638,base_link,0,1,40.3548497,-3.7441344,706.596613113,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069787875253100,9,1574069787874802230,base_link,0,1,40.3548491,-3.7441343,706.586612447,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788112767769,10,1574069788112376565,base_link,0,1,40.3548489,-3.7441341,706.586612082,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788353874136,11,1574069788353414958,base_link,0,1,40.3548491,-3.7441338,706.576612016,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788589835507,12,1574069788589586889,base_link,0,1,40.3548491,-3.7441336,706.586611844,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069788832635868,13,1574069788832214762,base_link,0,1,40.3548491,-3.7441334,706.576611672,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069789072317023,14,1574069789072036531,base_link,0,1,40.3548491,-3.7441332,706.566611499,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069789312998473,15,1574069789312591866,base_link,0,1,40.3548489,-3.7441329,706.566611048,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069789546487601,16,1574069789546171864,base_link,0,1,40.3548486,-3.7441325,706.566610413,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069789792328505,17,1574069789791880089,base_link,0,1,40.3548485,-3.7441322,706.566610058,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069790032430324,18,1574069790032167829,base_link,0,1,40.3548483,-3.744132,706.566609693,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069790272454105,19,1574069790272064333,base_link,0,1,40.3548478,-3.7441318,706.566609038,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069790512126238,20,1574069790511908836,base_link,0,1,40.3548477,-3.7441314,706.566608597,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069790751851277,21,1574069790751707260,base_link,0,1,40.3548477,-3.7441312,706.566608424,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069790992386324,22,1574069790992110298,base_link,0,1,40.3548477,-3.744131,706.556608252,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069791230945063,23,1574069791230517411,base_link,0,1,40.3548478,-3.7441309,706.556608262,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069791471414449,24,1574069791471115168,base_link,0,1,40.3548476,-3.7441306,706.556607811,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069791710148035,25,1574069791709672779,base_link,0,1,40.3548473,-3.7441303,706.566607263,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069791951716586,26,1574069791951364561,base_link,0,1,40.3548469,-3.74413,706.566606618,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069792192350105,27,1574069792191955628,base_link,0,1,40.3548464,-3.7441297,706.566605877,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069792429956976,28,1574069792429676806,base_link,0,1,40.3548459,-3.7441294,706.566605136,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069792670728486,29,1574069792670266654,base_link,0,1,40.3548454,-3.7441292,706.576604481,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069792907941037,30,1574069792907640418,base_link,0,1,40.3548449,-3.7441289,706.586603739,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,6.8120994524,1
1574069793151726982,31,1574069793151320966,base_link,0,1,40.3548444,-3.7441287,706.586603084,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069793390438526,32,1574069793390181189,base_link,0,1,40.3548442,-3.7441284,706.596602633,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069793630407190,33,1574069793630179269,base_link,0,1,40.3548438,-3.744128,706.606601902,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069793911163306,34,1574069793910897648,base_link,0,1,40.3548428,-3.7441277,706.626600678,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069794212551229,35,1574069794212079920,base_link,0,1,40.3548418,-3.7441273,706.646599368,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069794523632326,36,1574069794523366130,base_link,0,1,40.3548412,-3.7441269,706.666598444,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069794793118807,37,1574069794792667954,base_link,0,1,40.3548409,-3.7441265,706.67659781,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069795072525574,38,1574069795072272256,base_link,0,1,40.3548407,-3.744126,706.686597186,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069795353114890,39,1574069795352943931,base_link,0,1,40.3548406,-3.7441254,706.696596573,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069795674275406,40,1574069795673820453,base_link,0,1,40.3548402,-3.7441249,706.716595756,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069795916525754,41,1574069795916183219,base_link,0,1,40.3548395,-3.7441244,706.726594649,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069796200045979,42,1574069796199629048,base_link,0,1,40.3548389,-3.7441239,706.736593639,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069796467149806,43,1574069796466865985,base_link,0,1,40.3548379,-3.7441233,706.746592157,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069796753897128,44,1574069796753584102,base_link,0,1,40.3548366,-3.7441226,706.766590299,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069797034607832,45,1574069797034202996,base_link,0,1,40.3548354,-3.7441221,706.77658871,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069797339351840,46,1574069797339019615,base_link,0,1,40.354834,-3.7441217,706.786587014,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069797614372136,47,1574069797613904827,base_link,0,1,40.354833,-3.7441218,706.806586134,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069797883802823,48,1574069797883593833,base_link,0,1,40.3548321,-3.7441215,706.816585007,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069798172879220,49,1574069798172407038,base_link,0,1,40.3548314,-3.7441211,706.816583987,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069798434053113,50,1574069798433773910,base_link,0,1,40.3548307,-3.7441205,706.816582794,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069798696957021,51,1574069798696569421,base_link,0,1,40.3548305,-3.7441196,706.816581826,0.960400037384,0.0,0.0,0.0,0.960400037384,0.0,0.0,0.0,4.32639968262,1
1574069798995378987,52,1574069798995037164,base_link,0,1,40.35483,-3.7441186,706.816580482,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069799271610173,53,1574069799271450003,base_link,0,1,40.3548297,-3.7441176,706.816579331,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069799557415582,54,1574069799556982200,base_link,0,1,40.3548295,-3.7441167,706.806578362,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069799833399412,55,1574069799833279191,base_link,0,1,40.3548295,-3.7441158,706.796577587,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069800126701907,56,1574069800126246691,base_link,0,1,40.3548295,-3.7441151,706.786576984,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069800430653805,57,1574069800430388669,base_link,0,1,40.3548294,-3.7441139,706.766575854,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069800696104533,58,1574069800695583680,base_link,0,1,40.3548293,-3.7441126,706.766574637,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069800972587617,59,1574069800972102529,base_link,0,1,40.3548291,-3.7441114,706.76657341,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069801279322447,60,1574069801279173997,base_link,0,1,40.354829,-3.7441106,706.756572625,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
1574069801548682996,61,1574069801548252742,base_link,0,1,40.3548287,-3.74411,706.766571818,0.722500040531,0.0,0.0,0.0,0.722500040531,0.0,0.0,0.0,2.01639987812,1
