%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time_ref,field.source
1574069785545379290,52,1574069785545182542,,1574069785719091000,fcu
1574069785773602131,53,1574069785773474644,,1574069785959086000,fcu
1574069786014953609,54,1574069786014745592,,1574069786199319000,fcu
1574069786261045392,55,1574069786260852577,,1574069786439087000,fcu
1574069786511383959,56,1574069786511063131,,1574069786679082000,fcu
1574069786742566613,57,1574069786742358232,,1574069786919088000,fcu
1574069786988523884,58,1574069786988179026,,1574069787159095000,fcu
1574069787219710530,59,1574069787219467927,,1574069787399100000,fcu
1574069787467793868,60,1574069787467440565,,1574069787639089000,fcu
1574069787708344636,61,1574069787708159205,,1574069787879550000,fcu
1574069787941567594,62,1574069787941193517,,1574069788119125000,fcu
1574069788176155048,63,1574069788175916723,,1574069788359088000,fcu
1574069788423014733,64,1574069788422679648,,1574069788599243000,fcu
1574069788670881413,65,1574069788670589239,,1574069788839117000,fcu
1574069788910696272,66,1574069788910373764,,1574069789079088000,fcu
1574069789139930388,67,1574069789139737056,,1574069789319139000,fcu
1574069789380592611,68,1574069789380212951,,1574069789559201000,fcu
1574069789616259668,69,1574069789616108164,,1574069789799096000,fcu
1574069789867535199,70,1574069789867204631,,1574069790039192000,fcu
1574069790110818699,71,1574069790110588868,,1574069790279083000,fcu
1574069790346986368,72,1574069790346724658,,1574069790519090000,fcu
1574069790587568977,73,1574069790587430915,,1574069790759092000,fcu
1574069790815463782,74,1574069790815338051,,1574069790999112000,fcu
1574069791064707840,75,1574069791064503476,,1574069791239312000,fcu
1574069791302128581,76,1574069791301734642,,1574069791479245000,fcu
1574069791550439329,77,1574069791550176663,,1574069791719106000,fcu
1574069791789071709,78,1574069791788644002,,1574069791959103000,fcu
1574069792022255549,79,1574069792022081189,,1574069792199077000,fcu
1574069792268986588,80,1574069792268695416,,1574069792439096000,fcu
1574069792510026479,81,1574069792509762245,,1574069792679097000,fcu
1574069792743504476,82,1574069792743396591,,1574069792919346000,fcu
1574069792979712649,83,1574069792979518107,,1574069793159096000,fcu
1574069793216798503,84,1574069793216440779,,1574069793399115000,fcu
1574069793459788870,85,1574069793459636639,,1574069793639095000,fcu
1574069793697804970,86,1574069793697410206,,1574069793897269000,fcu
1574069794035136340,87,1574069794034962251,,1574069794239107000,fcu
1574069794334016591,88,1574069794333607905,,1574069794539605000,fcu
1574069794691256071,89,1574069794690869170,,1574069794896936000,fcu
1574069794986121447,90,1574069794985906488,,1574069795196994000,fcu
1574069795310961414,91,1574069795310601463,,1574069795499547000,fcu
1574069795593658305,92,1574069795593309294,,1574069795799464000,fcu
1574069795955526577,93,1574069795955381776,,1574069796156978000,fcu
1574069796289724981,94,1574069796289459898,,1574069796477128000,fcu
1574069796645651497,95,1574069796645290384,,1574069796857031000,fcu
1574069796948165072,96,1574069796947998088,,1574069797139547000,fcu
1574069797245093018,97,1574069797244748598,,1574069797456868000,fcu
1574069797572517239,98,1574069797572339683,,1574069797776941000,fcu
1574069797908213249,99,1574069797908072937,,1574069798117038000,fcu
1574069798205199535,100,1574069798204875961,,1574069798399296000,fcu
1574069798549395615,101,1574069798549084824,,1574069798756984000,fcu
1574069798855004512,102,1574069798854828240,,1574069799056950000,fcu
1574069799197187828,103,1574069799196830808,,1574069799396992000,fcu
1574069799505400922,104,1574069799505110393,,1574069799717081000,fcu
1574069799793257886,105,1574069799793070625,,1574069799997019000,fcu
1574069800090438720,106,1574069800090064290,,1574069800296943000,fcu
1574069800388033736,107,1574069800387831373,,1574069800596977000,fcu
1574069800721044749,108,1574069800720891741,,1574069800936970000,fcu
1574069801040548159,109,1574069801040273368,,1574069801236882000,fcu
1574069801314959633,110,1574069801314755743,,1574069801499277000,fcu
1574069801588312236,111,1574069801587935849,,1574069801796951000,fcu
1574069801915468725,112,1574069801915338584,,1574069802116933000,fcu
1574069802207994461,113,1574069802207601504,,1574069802416989000,fcu
1574069802553203393,114,1574069802552803349,,1574069802739447000,fcu
1574069802884342774,115,1574069802884166446,,1574069803059438000,fcu
1574069803172956234,116,1574069803172663966,,1574069803357072000,fcu
1574069803452765558,117,1574069803452580259,,1574069803659307000,fcu
1574069803732001543,118,1574069803731788412,,1574069803939616000,fcu
1574069804071618673,119,1574069804071305558,,1574069804276987000,fcu
1574069804413107303,120,1574069804412949305,,1574069804619493000,fcu
1574069804723209774,121,1574069804722877506,,1574069804936992000,fcu
1574069805030332401,122,1574069805029892639,,1574069805237004000,fcu
1574069805291655365,123,1574069805291474880,,1574069805499664000,fcu
1574069805597474743,124,1574069805597165218,,1574069805799526000,fcu
1574069805917390565,125,1574069805917192393,,1574069806119538000,fcu
1574069806255129017,126,1574069806254971501,,1574069806459536000,fcu
1574069806639228380,127,1574069806638934182,,1574069806816911000,fcu
1574069806946476461,128,1574069806946368931,,1574069807119301000,fcu
1574069807268075771,129,1574069807267928577,,1574069807459700000,fcu
1574069807613333031,130,1574069807612953555,,1574069807817002000,fcu
1574069807931341476,131,1574069807931129475,,1574069808139558000,fcu
1574069808254511406,132,1574069808254121082,,1574069808459543000,fcu
1574069808577213458,133,1574069808576828142,,1574069808777107000,fcu
1574069808891628917,134,1574069808891410483,,1574069809099635000,fcu
1574069809212120936,135,1574069809211818568,,1574069809419604000,fcu
1574069809613244425,136,1574069809612928057,,1574069809797007000,fcu
1574069809899454254,137,1574069809899289192,,1574069810059792000,fcu
1574069810166368773,138,1574069810166003024,,1574069810377025000,fcu
1574069810460206094,139,1574069810460018448,,1574069810659494000,fcu
1574069810782631673,140,1574069810782390861,,1574069810979731000,fcu
1574069811108699566,141,1574069811108356161,,1574069811299537000,fcu
1574069811404953588,142,1574069811404773633,,1574069811599304000,fcu
1574069811689158918,143,1574069811688901011,,1574069811879891000,fcu
1574069812012447668,144,1574069812012258470,,1574069812219624000,fcu
1574069812325582851,145,1574069812325233720,,1574069812537004000,fcu
1574069812683376901,146,1574069812682992725,,1574069812879524000,fcu
1574069813002319400,147,1574069813002089748,,1574069813217093000,fcu
1574069813304147664,148,1574069813303746227,,1574069813516837000,fcu
1574069813692312089,149,1574069813692052713,,1574069813877034000,fcu
1574069814005890034,150,1574069814005710612,,1574069814197078000,fcu
1574069814295131676,151,1574069814294768495,,1574069814499538000,fcu
1574069814645395977,152,1574069814645246830,,1574069814856949000,fcu
1574069814923566671,153,1574069814923414926,,1574069815120106000,fcu
1574069815200204633,154,1574069815199781285,,1574069815400114000,fcu
1574069815485827426,155,1574069815485615339,,1574069815680295000,fcu
1574069815734926333,156,1574069815734661877,,1574069815940103000,fcu
1574069816060237251,157,1574069816060072961,,1574069816237832000,fcu
1574069816288137605,158,1574069816287744519,,1574069816480099000,fcu
1574069816546361670,159,1574069816546174884,,1574069816740106000,fcu
1574069816809866741,160,1574069816809506475,,1574069817000111000,fcu
1574069817077429964,161,1574069817077172461,,1574069817280050000,fcu
1574069817340271972,162,1574069817339892128,,1574069817540219000,fcu
1574069817604937904,163,1574069817604676822,,1574069817817765000,fcu
1574069817897153516,164,1574069817896883638,,1574069818080108000,fcu
1574069818176296335,165,1574069818176143682,,1574069818360286000,fcu
1574069818482300187,166,1574069818482129575,,1574069818677847000,fcu
1574069818739438207,167,1574069818739084588,,1574069818920357000,fcu
1574069819005889774,168,1574069819005687707,,1574069819200120000,fcu
1574069819266256485,169,1574069819265837741,,1574069819460298000,fcu
1574069819545082730,170,1574069819544866528,,1574069819740112000,fcu
1574069819811831562,171,1574069819811513400,,1574069820000211000,fcu
1574069820085879930,172,1574069820085723232,,1574069820280113000,fcu
1574069820387262340,173,1574069820386990106,,1574069820560353000,fcu
1574069820644782789,174,1574069820644589365,,1574069820840112000,fcu
1574069820900034895,175,1574069820899697625,,1574069821100207000,fcu
1574069821159296492,176,1574069821159120482,,1574069821360110000,fcu
1574069821417203834,177,1574069821416905529,,1574069821620054000,fcu
1574069821679307270,178,1574069821679122505,,1574069821880105000,fcu
1574069821993113433,179,1574069821992708040,,1574069822197447000,fcu
1574069822305007912,180,1574069822304796448,,1574069822477885000,fcu
1574069822588407739,181,1574069822588135464,,1574069822740271000,fcu
1574069822814362029,182,1574069822814163547,,1574069823000280000,fcu
1574069823075129491,183,1574069823074827403,,1574069823280050000,fcu
1574069823337695128,184,1574069823337484602,,1574069823540102000,fcu
1574069823615522857,185,1574069823615323138,,1574069823820057000,fcu
1574069823883770050,186,1574069823883484079,,1574069824080283000,fcu
1574069824137139303,187,1574069824136999024,,1574069824340365000,fcu
1574069824472344699,188,1574069824471938090,,1574069824657848000,fcu
1574069824760056213,189,1574069824759834371,,1574069824940303000,fcu
1574069825010977030,190,1574069825010608116,,1574069825200112000,fcu
1574069825284796967,191,1574069825284651945,,1574069825480101000,fcu
1574069825555926275,192,1574069825555569448,,1574069825740098000,fcu
1574069825798334932,193,1574069825798152689,,1574069826000111000,fcu
1574069826066962728,194,1574069826066680731,,1574069826260053000,fcu
1574069826367652737,195,1574069826367491310,,1574069826577964000,fcu
1574069826611906951,196,1574069826611629142,,1574069826800225000,fcu
1574069826928228110,197,1574069826927909792,,1574069827120105000,fcu
1574069827175432476,198,1574069827175242342,,1574069827380049000,fcu
1574069827466109596,199,1574069827465739861,,1574069827660052000,fcu
1574069827724045849,200,1574069827723871362,,1574069827920100000,fcu
1574069827985639149,201,1574069827985309195,,1574069828180110000,fcu
1574069828244656921,202,1574069828244489882,,1574069828440103000,fcu
1574069828536078094,203,1574069828535702345,,1574069828717794000,fcu
1574069828784625885,204,1574069828784427770,,1574069828960052000,fcu
1574069829016450470,205,1574069829016181931,,1574069829220101000,fcu
1574069829329432400,206,1574069829329245135,,1574069829520103000,fcu
1574069829576628931,207,1574069829576305996,,1574069829780116000,fcu
1574069829836630157,208,1574069829836476571,,1574069830040105000,fcu
1574069830096998747,209,1574069830096626763,,1574069830300107000,fcu
1574069830384493829,210,1574069830384273049,,1574069830580130000,fcu
1574069830634764332,211,1574069830634515559,,1574069830840107000,fcu
1574069830921888173,212,1574069830921674849,,1574069831120065000,fcu
1574069831185439750,213,1574069831185023179,,1574069831380108000,fcu
1574069831434835136,214,1574069831434612311,,1574069831640274000,fcu
1574069831737181639,215,1574069831737018056,,1574069831920272000,fcu
1574069832055677833,216,1574069832055278238,,1574069832220276000,fcu
1574069832304248136,217,1574069832304046201,,1574069832497802000,fcu
1574069832565809663,218,1574069832565445440,,1574069832740274000,fcu
1574069832824523370,219,1574069832824377536,,1574069833000281000,fcu
1574069833106892656,220,1574069833106550122,,1574069833280267000,fcu
1574069833395338225,221,1574069833395171979,,1574069833560225000,fcu
1574069833660304072,222,1574069833659957812,,1574069833860221000,fcu
1574069833924547088,223,1574069833924410360,,1574069834120108000,fcu
1574069834190491779,224,1574069834190230801,,1574069834380127000,fcu
1574069834471899091,225,1574069834471715841,,1574069834660109000,fcu
1574069834732106463,226,1574069834731731015,,1574069834920048000,fcu
1574069835043408612,227,1574069835043045503,,1574069835220283000,fcu
1574069835293024290,228,1574069835292836591,,1574069835480286000,fcu
1574069835551018987,229,1574069835550748506,,1574069835740273000,fcu
1574069835824467211,230,1574069835824249722,,1574069836020099000,fcu
1574069836084469964,231,1574069836084126535,,1574069836280299000,fcu
1574069836336172326,232,1574069836335942187,,1574069836540099000,fcu
1574069836604832578,233,1574069836604457533,,1574069836800113000,fcu
1574069836922690131,234,1574069836922483416,,1574069837100423000,fcu
1574069837179192502,235,1574069837178860424,,1574069837380061000,fcu
1574069837464833889,236,1574069837464662815,,1574069837660097000,fcu
1574069837716252490,237,1574069837715900317,,1574069837920103000,fcu
1574069837984654788,238,1574069837984344666,,1574069838180114000,fcu
1574069838240720672,239,1574069838240391574,,1574069838440104000,fcu
1574069838568732025,240,1574069838568588375,,1574069838760196000,fcu
1574069838845299670,241,1574069838845163880,,1574069839037818000,fcu
1574069839086656838,242,1574069839086438862,,1574069839280108000,fcu
1574069839343456671,243,1574069839338784363,,1574069839540220000,fcu
1574069839602548148,244,1574069839602115939,,1574069839800062000,fcu
1574069839851573909,245,1574069839851342308,,1574069840060302000,fcu
1574069840134289970,246,1574069840133877302,,1574069840340116000,fcu
1574069840414693295,247,1574069840414472936,,1574069840620104000,fcu
1574069840731163974,248,1574069840730832959,,1574069840920361000,fcu
1574069841020121667,249,1574069841019897787,,1574069841200131000,fcu
1574069841311554824,250,1574069841311240764,,1574069841500246000,fcu
1574069841579399645,251,1574069841579219882,,1574069841780254000,fcu
1574069841940657675,252,1574069841940377652,,1574069842117975000,fcu
1574069842259814809,253,1574069842259415610,,1574069842398068000,fcu
1574069842534481894,254,1574069842534177232,,1574069842700278000,fcu
1574069842792665669,255,1574069842792332996,,1574069842980284000,fcu
1574069843078338315,256,1574069843078121648,,1574069843280122000,fcu
1574069843355205646,257,1574069843354940605,,1574069843560282000,fcu
1574069843683016469,258,1574069843682838235,,1574069843880245000,fcu
1574069843984610960,259,1574069843984494045,,1574069844180274000,fcu
1574069844254270775,260,1574069844253893689,,1574069844460250000,fcu
1574069844561204173,261,1574069844561015400,,1574069844760260000,fcu
1574069844855051689,262,1574069844854692572,,1574069845041111000,fcu
1574069845113199201,263,1574069845112996476,,1574069845318705000,fcu
1574069845376638426,264,1574069845376314392,,1574069845578645000,fcu
1574069845672022590,265,1574069845671823873,,1574069845861064000,fcu
1574069845948547446,266,1574069845948161662,,1574069846140975000,fcu
1574069846197172029,267,1574069846196958579,,1574069846401039000,fcu
1574069846462841285,268,1574069846462603688,,1574069846661030000,fcu
1574069846697468502,269,1574069846697266105,,1574069846900783000,fcu
1574069846946976065,270,1574069846946563356,,1574069847140756000,fcu
1574069847191110838,271,1574069847190874105,,1574069847380993000,fcu
1574069847420876727,272,1574069847420553631,,1574069847620821000,fcu
1574069847672002851,273,1574069847671816474,,1574069847861022000,fcu
1574069847904914272,274,1574069847904554881,,1574069848100828000,fcu
1574069848142669573,275,1574069848142505240,,1574069848340809000,fcu
1574069848390752583,276,1574069848390472043,,1574069848580808000,fcu
1574069848619568828,277,1574069848619378460,,1574069848820883000,fcu
1574069848865210151,278,1574069848864827093,,1574069849061035000,fcu
1574069849112961873,279,1574069849112820472,,1574069849300810000,fcu
1574069849345032915,280,1574069849344794856,,1574069849541005000,fcu
1574069849590896652,281,1574069849590564652,,1574069849781021000,fcu
1574069849820532384,282,1574069849820276495,,1574069850020808000,fcu
1574069850065109828,283,1574069850064775981,,1574069850260883000,fcu
1574069850302338231,284,1574069850302003008,,1574069850501010000,fcu
1574069850535448764,285,1574069850535277528,,1574069850740799000,fcu
1574069850785812877,286,1574069850785671708,,1574069850980766000,fcu
1574069851022209622,287,1574069851022010127,,1574069851221141000,fcu
1574069851262932873,288,1574069851262618397,,1574069851460800000,fcu
1574069851494950371,289,1574069851494846701,,1574069851700815000,fcu
1574069851740789368,290,1574069851740490901,,1574069851941068000,fcu
1574069851986580610,291,1574069851986391064,,1574069852180857000,fcu
1574069852225555637,292,1574069852225209908,,1574069852420848000,fcu
1574069852452533037,293,1574069852452376622,,1574069852661012000,fcu
1574069852712796213,294,1574069852712456620,,1574069852900964000,fcu
1574069852949430581,295,1574069852949156357,,1574069853140860000,fcu
1574069853184189411,296,1574069853183847224,,1574069853380974000,fcu
1574069853421279684,297,1574069853421005228,,1574069853620810000,fcu
1574069853663292725,298,1574069853663017334,,1574069853860808000,fcu
1574069853900410138,299,1574069853900208621,,1574069854100963000,fcu
1574069854141511707,300,1574069854141400819,,1574069854340801000,fcu
1574069854385973002,301,1574069854385812013,,1574069854580843000,fcu
1574069854617611406,302,1574069854617473506,,1574069854821025000,fcu
1574069854857561420,303,1574069854857235150,,1574069855060828000,fcu
1574069855110791191,304,1574069855110617562,,1574069855300811000,fcu
1574069855338114604,305,1574069855337807796,,1574069855541032000,fcu
1574069855576578184,306,1574069855576238809,,1574069855780810000,fcu
1574069855814089499,307,1574069855813743618,,1574069856020860000,fcu
